name;division;age;nationality;maç sayısı;rounds;nakavt oranı;height;reach;stance;career;yenme;yenilgi;berabere;nakavt_etme;nakavt_edilme
Denis Murselovic;heavy;30;Austria;11;36;63.64%;;;;"debut
        2019-05-04";11;0;0;7 KOs;0 KOs
Norman Neely;heavy;34;USA;16;47;66.67%;6′ 3″   /   191cm;73″   /   185cm;orthodox;"debut
        2019-04-27";15;1;0;10 KOs;1 KOs
Jake Paul;heavy;27;USA;12;60;63.64%;6′ 1″   /   185cm;76″   /   193cm;orthodox;"debut
        2020-01-30";11;1;0;7 KOs;0 KOs
Florian Schulz;heavy;30;Germany;7;24;85.71%;;;;"debut
        2024-02-24";7;0;0;6 KOs;0 KOs
Adam Kownacki;heavy;35;Poland;25;117;75%;6′ 3″   /   191cm;76″   /   193cm;orthodox;"debut
        2009-10-30";20;4;0;15 KOs;3 KOs
Gustavo Trujillo;heavy;31;USA;6;12;83.33%;6′ 4″   /   193cm;;orthodox;"debut
        2022-09-23";6;0;0;5 KOs;0 KOs
Herich Ruiz Cordoba;heavy;29;Cuba;6;28;66.67%;6′ 3″   /   191cm;;southpaw;"debut
        2022-12-11";6;0;0;4 KOs;0 KOs
Victor Daniel;heavy;32;Germany;9;22;66.67%;6′ 4½″   /   194cm;;;"debut
        2016-10-01";9;0;0;6 KOs;0 KOs
Nick Webb;heavy;37;United Kingdom;21;53;77.78%;6′ 5″   /   196cm;;orthodox;"debut
        2015-03-27";18;3;0;14 KOs;3 KOs
Alexander Flores;heavy;34;USA;25;91;89.47%;6′ 4″   /   193cm;;orthodox;"debut
        2010-03-19";19;5;1;17 KOs;3 KOs
Jaye Byard;heavy;43;Canada;12;31;100%;6′ 0″   /   183cm;;southpaw;"debut
        2019-11-08";8;4;0;8 KOs;2 KOs
Michael Webster;heavy;29;United Kingdom;12;44;60%;;;orthodox;"debut
        2019-03-16";10;2;0;6 KOs;1 KOs
Seun Salami;heavy;28;Austria;8;19;87.5%;6′ 5½″   /   197cm;;;"debut
        2021-09-18";8;0;0;7 KOs;0 KOs
Jordan Reyes;heavy;39;Costa Rica;26;56;95.83%;;;orthodox;"debut
        2015-03-28";24;2;0;23 KOs;1 KOs
Angelo Morejon;heavy;29;Cuba;6;14;100%;;;;"debut
        2023-07-16";6;0;0;6 KOs;0 KOs
Wilmer Vasquez;heavy;43;Venezuela;18;76;61.54%;6′ 3″   /   191cm;;orthodox;"debut
        2006-12-08";13;3;2;8 KOs;1 KOs
John Cantrell;heavy;35;USA;12;39;90%;6′ 2″   /   188cm;;orthodox;"debut
        2019-12-11";10;0;1;9 KOs;0 KOs
Fernando Cuza Taquechel;heavy;24;Cuba;6;21;50%;6′ 4″   /   193cm;;southpaw;"debut
        2022-09-23";6;0;0;3 KOs;0 KOs
Federico Pacheco Jr;heavy;20;USA;7;20;71.43%;6′ 5″   /   196cm;;orthodox;"debut
        2022-10-29";7;0;0;5 KOs;0 KOs
Danijal Alagic;heavy;28;Bosnia And Herzegovina;12;36;70%;;;;"debut
        2022-07-30";10;0;2;7 KOs;0 KOs
Stevan Ivic;heavy;34;Australia;7;35;33.33%;6′ 4″   /   193cm;;orthodox;"debut
        2022-05-07";6;0;1;2 KOs;0 KOs
Christian Hammer;heavy;37;Germany;39;222;62.96%;6′ 3″   /   190cm;78″   /   198cm;orthodox;"debut
        2008-11-01";27;12;0;17 KOs;6 KOs
Mark De Mori;heavy;42;Australia;46;145;87.8%;6′ 2″   /   188cm;;orthodox;"debut
        2004-02-20";41;3;2;36 KOs;3 KOs
Shawn Laughery;heavy;33;USA;19;89;57.14%;6′ 0″   /   183cm;;southpaw;"debut
        2011-01-08";14;5;0;8 KOs;1 KOs
Felix Langberg;heavy;32;Germany;17;45;93.33%;6′ 5″   /   195cm;;orthodox;"debut
        2020-11-07";15;2;0;14 KOs;1 KOs
Bilal Laggoune;heavy;32;Belgium;33;202;53.85%;;;orthodox;"debut
        2011-10-08";26;5;2;14 KOs;2 KOs
Brandon Grach;heavy;31;Australia;3;9;66.67%;6′ 4″   /   193cm;;;"debut
        2023-09-13";3;0;0;2 KOs;0 KOs
Bilal Kara;heavy;32;Turkiye;7;9;100%;;;;"debut
        2023-10-29";7;0;0;7 KOs;0 KOs
Kash Ali;heavy;32;United Kingdom;24;99;57.14%;6′ 6″   /   198cm;;orthodox;"debut
        2011-11-26";21;3;0;12 KOs;1 KOs
Manuel Cosme;heavy;34;Mexico;7;26;57.14%;;;;"debut
        2022-11-05";7;0;0;4 KOs;0 KOs
Aleksei Dronov;heavy;22;Russia;4;18;50%;6′ 5½″   /   197cm;;orthodox;"debut
        2024-03-23";4;0;0;2 KOs;0 KOs
Riza Baydilli;heavy;43;Germany;10;21;100%;;;orthodox;"debut
        2019-06-08";10;0;0;10 KOs;0 KOs
Djuar El Scheich;heavy;32;Germany;24;71;95.45%;6′ 1″   /   185cm;;orthodox;"debut
        2017-04-29";22;1;1;21 KOs;1 KOs
Marko Radonjic;heavy;34;Montenegro;24;46;100%;;;;"debut
        2017-06-24";23;1;0;23 KOs;1 KOs
Curtis Harper;heavy;36;USA;29;118;64.71%;6′ 2″   /   188cm;78½″   /   199cm;orthodox;"debut
        2010-02-16";17;11;0;11 KOs;6 KOs
Jack May;heavy;43;USA;11;19;90%;6′ 8″   /   203cm;78″   /   198cm;southpaw;"debut
        2022-02-12";10;1;0;9 KOs;1 KOs
