name;division;age;nationality;maç sayısı;rounds;nakavt oranı;height;reach;stance;career;yenme;yenilgi;berabere;nakavt_etme;nakavt_edilme
Roberto White;heavy;54;USA;35;77;100%;6′ 3″   /   191cm;;southpaw;"debut
        2007-06-23";18;14;3;18 KOs;11 KOs
Nicholas Buule;heavy;37;Uganda;10;19;85.71%;;;orthodox;"debut
        2009-04-12";7;3;0;6 KOs;3 KOs
Alessandro Jandejsek;heavy;33;Czech Republic;13;37;87.5%;6′ 5″   /   195cm;;;"debut
        2022-03-05";8;5;0;7 KOs;3 KOs
Ramon Alberto Ibarra;heavy;27;Argentina;9;32;0%;;;orthodox;"debut
        2022-09-16";3;4;1;0 KOs;2 KOs
Mario Rodriguez Juarez;heavy;36;Mexico;11;32;80%;;;orthodox;"debut
        2017-02-10";5;4;2;4 KOs;3 KOs
Eric Perry;heavy;38;USA;9;16;100%;5′ 10″   /   178cm;;;"debut
        2020-02-29";5;3;1;5 KOs;3 KOs
Antonio Mignella;heavy;37;USA;13;42;83.33%;5′ 8″   /   173cm;;orthodox;"debut
        2014-03-01";6;5;2;5 KOs;2 KOs
Keith Rydell Mayes Jr;heavy;35;USA;18;30;93.33%;6′ 1″   /   185cm;;southpaw;"debut
        2018-07-28";15;3;0;14 KOs;3 KOs
Brian Mowry;heavy;29;USA;3;11;66.67%;6′ 7″   /   201cm;;orthodox;"debut
        2023-08-26";3;0;0;2 KOs;0 KOs
Brandon Carmack;heavy;32;USA;16;66;57.14%;6′ 4″   /   193cm;;orthodox;"debut
        2012-03-31";7;6;3;4 KOs;3 KOs
Abraham Okine;heavy;52;Ghana;18;75;57.14%;6′ 2″   /   188cm;;orthodox;"debut
        2002-04-26";14;4;0;8 KOs;2 KOs
Kahlil Smoot;heavy;40;USA;15;37;91.67%;6′ 4″   /   193cm;;orthodox;"debut
        2018-11-17";12;3;0;11 KOs;3 KOs
Perry Reichling;heavy;33;Netherlands;5;25;25%;6′ 1″   /   186cm;;;"debut
        2021-04-18";4;0;1;1 KOs;0 KOs
Oleksiy Timchenko;heavy;33;Ukraine;8;32;66.67%;;;;"debut
        2021-07-17";3;4;1;2 KOs;2 KOs
Lewie Pochetty;heavy;19;United Kingdom;4;11;50%;6′ 3″   /   191cm;;orthodox;"debut
        2024-05-25";4;0;0;2 KOs;0 KOs
Jason Bergman;heavy;40;USA;51;203;66.67%;6′ 2″   /   188cm;75″   /   190cm;southpaw;"debut
        2006-11-22";27;22;2;18 KOs;12 KOs
Hector Perez;heavy;33;USA;14;49;42.86%;5′ 9″   /   175cm;75″   /   191cm;orthodox;"debut
        2014-03-14";7;7;0;3 KOs;3 KOs
Konstantin Biegler;heavy;39;Germany;6;21;60%;;;;"debut
        2016-06-30";5;1;0;3 KOs;1 KOs
Boma Brown;heavy;29;United Kingdom;5;18;60%;6′ 5″   /   195cm;;;"debut
        2022-11-18";5;0;0;3 KOs;0 KOs
Gilberto Davis;heavy;;Panama;2;5;0%;;;;"debut
        2023-03-30";1;1;0;0 KOs;1 KOs
Ray Dimachki;heavy;;Australia;10;23;87.5%;;;orthodox;"debut
        2016-05-14";8;1;1;7 KOs;1 KOs
Maxime Verrons;heavy;33;France;15;66;28.57%;;;;"debut
        2014-02-28";7;7;1;2 KOs;1 KOs
Dominic Vial;heavy;31;Germany;17;36;90.91%;6′ 8″   /   203cm;;;"debut
        2017-04-21";11;6;0;10 KOs;6 KOs
Giovanni Auriemma;heavy;31;Netherlands;8;43;0%;5′ 11½″   /   182cm;;orthodox;"debut
        2016-06-18";2;5;1;0 KOs;2 KOs
Fouad Shaili;heavy;38;France;8;29;66.67%;;;;"debut
        2022-04-16";3;3;2;2 KOs;1 KOs
Carlos Ailton Nascimento;heavy;36;Brazil;27;107;72.22%;6′ 4″   /   193cm;79½″   /   202cm;orthodox;"debut
        2013-04-06";18;9;0;13 KOs;6 KOs
Brandon Osbourne;heavy;;Canada;2;8;0%;;;;"debut
        2022-11-05";2;0;0;0 KOs;0 KOs
Guillermo Casas;heavy;30;Mexico;16;63;54.55%;5′ 11½″   /   181cm;;orthodox;"debut
        2016-06-30";11;4;1;6 KOs;2 KOs
Suk Hee Ahn;heavy;40;South Korea;8;31;33.33%;6′ 4″   /   193cm;77″   /   196cm;southpaw;"debut
        2021-07-17";3;4;1;1 KOs;3 KOs
Jakub Sosinski;heavy;34;Poland;16;73;37.5%;6′ 0″   /   183cm;74½″   /   189cm;orthodox;"debut
        2019-08-31";8;7;1;3 KOs;4 KOs
Willie Harvey;heavy;40;USA;11;35;80%;5′ 11″   /   180cm;;orthodox;"debut
        2015-08-15";5;4;2;4 KOs;3 KOs
Yonny Molina;heavy;47;Venezuela;23;87;61.54%;6′ 0½″   /   184cm;74½″   /   189cm;southpaw;"debut
        2017-02-22";13;9;1;8 KOs;6 KOs
Juan Cardoza Puente;heavy;31;Mexico;5;15;50%;5′ 9″   /   175cm;;orthodox;"debut
        2022-04-02";2;2;1;1 KOs;1 KOs
Chriss Aiello;heavy;;USA;2;3;100%;;;;"debut
        2023-09-16";2;0;0;2 KOs;0 KOs
Sergej Adamovic;heavy;29;Bosnia And Herzegovina;5;18;20%;;;;"debut
        2021-11-24";5;0;0;1 KOs;0 KOs
Nelbe Jacundino De Souza;heavy;36;Brazil;15;55;57.14%;6′ 1″   /   186cm;80″   /   203cm;orthodox;"debut
        2019-12-21";7;6;2;4 KOs;2 KOs
Antonio Zepeda;heavy;29;USA;8;23;100%;6′ 6″   /   198cm;80″   /   203cm;orthodox;"debut
        2021-01-29";6;2;0;6 KOs;1 KOs
Julius Lloyd Long;heavy;47;New Zealand;48;236;77.78%;7′ 1″   /   216cm;90″   /   229cm;orthodox;"debut
        2001-01-17";18;28;1;14 KOs;11 KOs
Bruce Seldon Jr.;heavy;30;USA;3;4;100%;6′ 0″   /   183cm;;orthodox;"debut
        2024-06-15";3;0;0;3 KOs;0 KOs
Pablo Ezequiel Diaz;heavy;35;Argentina;20;68;22.22%;;;orthodox;"debut
        2015-10-30";9;10;0;2 KOs;7 KOs
Edonis Berisha;heavy;21;Germany;10;19;87.5%;6′ 4″   /   193cm;;;"debut
        2021-07-11";8;2;0;7 KOs;2 KOs
Marko Colic;heavy;37;Bosnia And Herzegovina;16;51;71.43%;;;;"debut
        2014-04-12";7;9;0;5 KOs;7 KOs
Christian Larrondo Garcia;heavy;37;Mexico;21;80;70%;;;;"debut
        2015-06-20";10;10;1;7 KOs;6 KOs
Adrian King;heavy;19;United Kingdom;4;11;50%;;;orthodox;"debut
        2023-11-04";4;0;0;2 KOs;0 KOs
Amato Mataika;heavy;;New Zealand;5;15;75%;6′ 4″   /   193cm;76½″   /   194cm;orthodox;"debut
        2022-11-18";4;1;0;3 KOs;0 KOs
Ali Ismayilov;heavy;50;Azerbaijan;38;164;71.43%;5′ 9½″   /   177cm;;orthodox;"debut
        2004-12-17";21;16;1;15 KOs;15 KOs
Tyler Tremblett;heavy;33;Canada;4;15;50%;6′ 3″   /   191cm;;orthodox;"debut
        2022-06-25";2;2;0;1 KOs;0 KOs
Mirko Tintor;heavy;37;Bosnia And Herzegovina;27;108;56.25%;6′ 3″   /   190cm;;southpaw;"debut
        2016-04-16";16;10;1;9 KOs;8 KOs
Emiliano Ezequiel Mendoza;heavy;24;Argentina;4;16;0%;;;orthodox;"debut
        2022-06-10";3;0;1;0 KOs;0 KOs
Kenny Niko;heavy;32;Australia;4;10;100%;6′ 1″   /   186cm;;southpaw;"debut
        2022-11-05";1;3;0;1 KOs;1 KOs
Mirzohidjon Abdullaev;heavy;32;Uzbekistan;9;35;60%;6′ 0½″   /   184cm;;southpaw;"debut
        2017-04-09";5;3;1;3 KOs;2 KOs
Ramon Olivas Echeverria;heavy;33;Mexico;42;120;66.67%;;;;"debut
        2011-05-14";18;23;0;12 KOs;21 KOs
Ricardo Cristobal;heavy;34;Panama;4;13;100%;;;;"debut
        2023-03-30";1;2;1;1 KOs;0 KOs
Najim Wali;heavy;41;USA;2;4;100%;6′ 2″   /   188cm;74″   /   188cm;southpaw;"debut
        2023-05-06";2;0;0;2 KOs;0 KOs
Saul Farah;heavy;41;Bolivia;102;394;86.11%;5′ 10″   /   178cm;;orthodox;"debut
        2004-11-25";72;27;3;62 KOs;19 KOs
Marcel Bode;heavy;28;Czech Republic;7;11;100%;;;;"debut
        2022-04-16";5;2;0;5 KOs;2 KOs
Esteban Ramon Juarez;heavy;27;Argentina;14;49;50%;;;orthodox;"debut
        2013-12-07";6;7;1;3 KOs;4 KOs
Hamza Gunes;heavy;48;Turkiye;9;18;66.67%;;;;"debut
        2018-01-27";6;3;0;4 KOs;3 KOs
Reinaldo Gonzalez;heavy;41;Venezuela;35;120;60.87%;5′ 11″   /   180cm;74½″   /   189cm;orthodox;"debut
        2010-06-05";23;12;0;14 KOs;11 KOs
Louis Cedric Olivier;heavy;33;Mauritius;5;22;0%;5′ 9″   /   175cm;;;"debut
        2023-01-14";4;1;0;0 KOs;0 KOs
Juan Camilo Novoa;heavy;43;Colombia;46;152;90.63%;5′ 10″   /   178cm;70″   /   178cm;orthodox;"debut
        2005-11-02";32;13;1;29 KOs;11 KOs
Braulio Arcos-Rodriguez;heavy;19;USA;1;4;0%;6′ 1″   /   185cm;;orthodox;"debut
        2024-04-20";1;0;0;0 KOs;0 KOs
Gustavo Flores Castillo;heavy;21;;5;21;0%;;;;"debut
        2022-04-10";2;2;1;0 KOs;1 KOs
John Shipman;heavy;34;USA;13;41;40%;6′ 6″   /   198cm;;orthodox;"debut
        2010-10-28";5;8;0;2 KOs;5 KOs
Jan Uhrin;heavy;37;Slovakia;5;10;66.67%;;;;"debut
        2024-06-08";3;2;0;2 KOs;2 KOs
Juan Martinez Ruiz;heavy;32;Mexico;9;32;66.67%;;;;"debut
        2011-04-30";3;5;1;2 KOs;1 KOs
Akhmad Mamadjanov;heavy;32;Uzbekistan;12;26;85.71%;6′ 1″   /   186cm;;orthodox;"debut
        2019-09-07";7;4;1;6 KOs;4 KOs
Jesse Bryan;heavy;40;USA;34;125;76.19%;;;orthodox;"debut
        2003-01-25";21;9;2;16 KOs;6 KOs
Haruna Swanga;heavy;40;Tanzania;3;6;100%;5′ 9½″   /   176cm;;orthodox;"debut
        2021-12-26";3;0;0;3 KOs;0 KOs
Steven Lyons;heavy;35;USA;18;73;40%;6′ 2″   /   188cm;;orthodox;"debut
        2016-04-15";5;11;2;2 KOs;7 KOs
Halim Haxhijaj;heavy;32;Kosovo;8;31;40%;;;;"debut
        2024-03-03";5;3;0;2 KOs;2 KOs
Jiri Surmaj;heavy;25;Czech Republic;12;43;83.33%;;;;"debut
        2022-01-08";6;6;0;5 KOs;2 KOs
Emilio Ezequiel Zarate;heavy;43;Argentina;47;248;57.14%;6′ 5½″   /   197cm;78″   /   198cm;orthodox;"debut
        2008-05-15";21;23;3;12 KOs;14 KOs
Luke Jacob;heavy;33;Australia;2;2;0%;;;;"debut
        2022-10-29";1;1;0;0 KOs;1 KOs
Kevin Nicolas Espindola;heavy;28;Argentina;17;86;37.5%;6′ 0″   /   183cm;;orthodox;"debut
        2017-10-14";8;9;0;3 KOs;1 KOs
Miguel Viloria;heavy;31;Venezuela;15;68;45.45%;;;orthodox;"debut
        2023-07-09";11;4;0;5 KOs;2 KOs
Kaine Philip Burns;heavy;31;United Kingdom;1;4;100%;;;;"debut
        2024-06-08";1;0;0;1 KOs;0 KOs
Bobby O'Bannon;heavy;39;USA;18;44;100%;6′ 2″   /   188cm;77½″   /   197cm;orthodox;"debut
        2007-12-01";10;8;0;10 KOs;7 KOs
Orlando Rashad Coulter;heavy;42;USA;10;39;60%;6′ 0″   /   183cm;;orthodox;"debut
        2014-08-16";5;5;0;3 KOs;1 KOs
Cashton Young;heavy;34;USA;8;26;33.33%;6′ 1″   /   185cm;;orthodox;"debut
        2016-01-30";3;3;1;1 KOs;2 KOs
Herbert Matovu;heavy;29;Uganda;5;6;100%;;;orthodox;"debut
        2024-02-10";5;0;0;5 KOs;0 KOs
Benjamin Adegbuyi;heavy;39;Romania;5;15;60%;6′ 6″   /   198cm;;orthodox;"debut
        2017-11-11";5;0;0;3 KOs;0 KOs
Alexandr Cverna;heavy;49;Czech Republic;2;7;50%;;;;"debut
        2024-06-14";2;0;0;1 KOs;0 KOs
Sancler Julio De Paula;heavy;40;Brazil;1;4;100%;;;;"debut
        2023-12-16";1;0;0;1 KOs;0 KOs
Esteban Raul Lopez;heavy;39;Argentina;25;120;8.33%;;;orthodox;"debut
        2013-12-20";12;12;1;1 KOs;5 KOs
Pavel Sour;heavy;42;Czech Republic;44;154;57.89%;6′ 5½″   /   197cm;78″   /   198cm;orthodox;"debut
        2016-12-17";19;25;0;11 KOs;18 KOs
Sandiso Kota;heavy;30;South Africa;4;17;50%;5′ 9″   /   175cm;73″   /   186cm;;"debut
        2019-10-11";2;2;0;1 KOs;1 KOs
Miguel Angel Rodas Lopez;heavy;35;Mexico;2;8;0%;;;;"debut
        2023-05-26";1;0;1;0 KOs;0 KOs
Caleb Tialu;heavy;;Australia;7;23;100%;6′ 1″   /   185cm;;;"debut
        2023-02-18";2;5;0;2 KOs;1 KOs
Michael Coronado;heavy;33;USA;13;53;25%;5′ 11″   /   180cm;;orthodox;"debut
        2016-05-05";4;8;1;1 KOs;2 KOs
Jon DP Shaw;heavy;34;United Kingdom;1;2;100%;;;;"debut
        2024-03-23";1;0;0;1 KOs;0 KOs
Arman Khudoyan;heavy;20;Armenia;2;10;0%;6′ 2″   /   188cm;;;"debut
        2023-09-09";2;0;0;0 KOs;0 KOs
Denis Nedashkovsky;heavy;30;Russia;4;12;0%;6′ 5″   /   196cm;78″   /   198cm;orthodox;"debut
        2013-09-21";2;2;0;0 KOs;2 KOs
Alan Andres Miljevic;heavy;27;Argentina;2;8;0%;;;;"debut
        2023-11-11";1;1;0;0 KOs;0 KOs
Andrew Satterfield;heavy;30;USA;16;44;57.14%;6′ 4″   /   193cm;;orthodox;"debut
        2018-01-20";7;8;1;4 KOs;7 KOs
Jesus Angel Nerio;heavy;35;Mexico;28;148;37.5%;5′ 11″   /   180cm;73″   /   185cm;orthodox;"debut
        2006-12-15";16;11;1;6 KOs;8 KOs
Randall Rayment;heavy;38;Australia;16;64;33.33%;;;orthodox;"debut
        2014-12-06";9;7;0;3 KOs;3 KOs
Jeremiah Williams;heavy;52;USA;34;128;72.22%;6′ 1″   /   185cm;;orthodox;"debut
        2008-02-09";18;14;2;13 KOs;3 KOs
Jairo Emiliano Suarez;heavy;35;Argentina;11;51;25%;;;orthodox;"debut
        2022-01-28";8;3;0;2 KOs;1 KOs
Maximiliano Alejandro Sosa;heavy;37;Argentina;21;81;41.67%;;;orthodox;"debut
        2010-11-14";12;9;0;5 KOs;8 KOs
Armando Jose Borquez;heavy;27;Dominica;2;5;100%;;;;"debut
        2024-09-14";1;0;1;1 KOs;0 KOs
Josh Sandland;heavy;32;United Kingdom;12;43;0%;;;orthodox;"debut
        2016-12-17";6;5;1;0 KOs;4 KOs
Ilya Rolgeyzer;heavy;35;Russia;10;53;0%;6′ 1″   /   185cm;;orthodox;"debut
        2013-06-21";4;6;0;0 KOs;2 KOs
Milen Paunov;heavy;40;Bulgaria;21;71;71.43%;5′ 9½″   /   176cm;70″   /   178cm;orthodox;"debut
        2014-11-01";7;14;0;5 KOs;3 KOs
Santander Silgado Gelez;heavy;39;Colombia;53;165;81.82%;5′ 11½″   /   182cm;72½″   /   184cm;orthodox;"debut
        2004-07-10";33;20;0;27 KOs;16 KOs
Antonio Brown;heavy;35;USA;13;21;100%;6′ 3″   /   191cm;;orthodox;"debut
        2018-04-13";8;5;0;8 KOs;5 KOs
Lamah Griggs;heavy;32;United Kingdom;14;54;0%;;;orthodox;"debut
        2021-10-09";3;10;1;0 KOs;2 KOs
Alfonso Damiani;heavy;38;Italy;15;82;28.57%;6′ 3″   /   190cm;;orthodox;"debut
        2021-02-13";7;8;0;2 KOs;3 KOs
Desmond Thompson;heavy;23;USA;8;14;100%;5′ 11″   /   180cm;;orthodox;"debut
        2021-05-22";6;2;0;6 KOs;2 KOs
Dominique Mayfield;heavy;28;USA;5;17;0%;6′ 2″   /   188cm;;orthodox;"debut
        2018-03-02";4;1;0;0 KOs;1 KOs
Tornike Puritchamiashvili;heavy;34;Georgia;27;107;66.67%;6′ 3″   /   190cm;;orthodox;"debut
        2015-08-15";9;18;0;6 KOs;8 KOs
Alejandro Orejel;heavy;;USA;3;7;66.67%;;;;"debut
        2023-12-16";3;0;0;2 KOs;0 KOs
Abelardo Gonzalez;heavy;28;Panama;7;14;100%;;;;"debut
        2017-11-30";4;3;0;4 KOs;0 KOs
Nii Offei Dodoo;heavy;27;Ghana;8;30;83.33%;;;orthodox;"debut
        2017-09-15";6;2;0;5 KOs;2 KOs
John Hopoate;heavy;49;Australia;20;66;91.67%;6′ 0½″   /   184cm;70½″   /   179cm;orthodox;"debut
        2006-05-17";12;8;0;11 KOs;6 KOs
Dante Selby;heavy;44;USA;10;40;33.33%;6′ 2″   /   188cm;;southpaw;"debut
        2013-04-26";3;5;2;1 KOs;1 KOs
Wilfrido Leal;heavy;37;Mexico;35;107;72.73%;;;;"debut
        2005-09-09";11;21;3;8 KOs;17 KOs
Rabowo Surya;heavy;28;Indonesia;2;9;100%;;;;"debut
        2023-11-11";2;0;0;2 KOs;0 KOs
Justice Jackson;heavy;;Australia;4;11;100%;;;;"debut
        2022-09-03";3;1;0;3 KOs;0 KOs
Somphot Seesa;heavy;25;Thailand;21;91;61.54%;;;;"debut
        2018-03-31";13;7;1;8 KOs;6 KOs
Keith Barr;heavy;40;USA;39;155;38.1%;5′ 11″   /   180cm;69″   /   175cm;southpaw;"debut
        2009-11-14";21;17;1;8 KOs;12 KOs
Darryl Clark;heavy;39;USA;9;26;66.67%;6′ 3″   /   191cm;;;"debut
        2021-09-25";3;6;0;2 KOs;3 KOs
Gabriel Mota;heavy;32;USA;7;28;0%;5′ 9″   /   175cm;;orthodox;"debut
        2019-12-15";1;5;1;0 KOs;2 KOs
Jake Paradise;heavy;30;USA;12;28;100%;;;;"debut
        2017-09-16";8;4;0;8 KOs;4 KOs
William Cassio Santos Coutinho;heavy;31;Brazil;5;20;50%;6′ 1″   /   186cm;74½″   /   189cm;orthodox;"debut
        2022-06-25";4;1;0;2 KOs;1 KOs
Richard Tutaki;heavy;46;New Zealand;49;158;47.62%;6′ 3½″   /   192cm;;;"debut
        2002-06-01";21;26;2;10 KOs;19 KOs
Sandy Pembroke;heavy;52;Canada;13;57;33.33%;6′ 0″   /   183cm;;orthodox;"debut
        2010-04-03";3;10;0;1 KOs;1 KOs
Jose Mario Tamez;heavy;28;Mexico;8;22;25%;6′ 2″   /   188cm;;orthodox;"debut
        2018-05-29";4;4;0;1 KOs;3 KOs
Roman Fury;heavy;28;United Kingdom;4;15;25%;6′ 2″   /   188cm;;southpaw;"debut
        2022-10-08";4;0;0;1 KOs;0 KOs
Diego Dominguez Gutierrez;heavy;24;Mexico;19;77;46.15%;6′ 0″   /   183cm;;;"debut
        2016-12-03";13;6;0;6 KOs;5 KOs
Jonathan Tuimaseve;heavy;;Australia;2;3;100%;;;;"debut
        2024-06-29";2;0;0;2 KOs;0 KOs
Shane Middleton;heavy;;Australia;2;5;100%;;;;"debut
        2023-12-09";2;0;0;2 KOs;0 KOs
Aaron Chavers;heavy;43;USA;23;76;44.44%;6′ 3″   /   191cm;80″   /   203cm;orthodox;"debut
        2015-01-24";9;13;1;4 KOs;9 KOs
Toni Thes;heavy;38;Germany;45;130;75%;5′ 11½″   /   182cm;;;"debut
        2010-09-26";28;16;1;21 KOs;11 KOs
Amine Boucetta;heavy;32;Belgium;25;141;0%;6′ 2″   /   188cm;;orthodox;"debut
        2016-10-14";8;17;0;0 KOs;4 KOs
;;;;;;;;;;;;;;;
Dmytro Tonyshev;heavy;30;Italy;3;13;33.33%;6′ 5″   /   195cm;;;"debut
        2024-04-05";3;0;0;1 KOs;0 KOs
Miree Coleman;heavy;42;USA;18;72;75%;6′ 3″   /   191cm;;orthodox;"debut
        2015-01-31";8;10;0;6 KOs;4 KOs
Saykhan Bakaev;heavy;26;Russia;4;13;75%;;;;"debut
        2017-08-12";4;0;0;3 KOs;0 KOs
Adam Atiyeh;heavy;39;;2;8;0%;6′ 0″   /   183cm;;;"debut
        2024-04-05";2;0;0;0 KOs;0 KOs
Siupeli Anau;heavy;31;USA;5;12;66.67%;;;;"debut
        2022-11-18";3;1;0;2 KOs;0 KOs
Gabriel Costa;heavy;23;Brazil;11;22;50%;5′ 10″   /   178cm;;orthodox;"debut
        2021-08-28";4;7;0;2 KOs;7 KOs
Jahsaiah Hirini;heavy;27;Australia;3;6;100%;;;;"debut
        2023-02-17";3;0;0;3 KOs;0 KOs
Daso Simeunovic;heavy;27;Bosnia And Herzegovina;10;31;66.67%;;;;"debut
        2017-10-14";3;7;0;2 KOs;4 KOs
Gideon Antwi;heavy;;United Kingdom;1;4;0%;;;;"debut
        2024-10-05";1;0;0;0 KOs;0 KOs
Mario Jaquez;heavy;35;USA;4;15;66.67%;5′ 11″   /   180cm;;orthodox;"debut
        2024-05-17";3;1;0;2 KOs;0 KOs
Luis Angel Bolanos;heavy;25;Mexico;4;13;0%;;;;"debut
        2022-12-03";1;2;1;0 KOs;2 KOs
Limbani Lano;heavy;35;Malawi;24;137;50%;;;orthodox;"debut
        2015-09-20";8;15;1;4 KOs;7 KOs
Bernard Adie;heavy;51;Kenya;26;84;68.75%;6′ 8½″   /   204cm;;orthodox;"debut
        2010-06-05";16;9;0;11 KOs;7 KOs
Alex Rozman;heavy;42;USA;11;29;75%;6′ 3″   /   191cm;79″   /   201cm;orthodox;"debut
        2013-02-23";4;7;0;3 KOs;5 KOs
Hyun Jin Kim;heavy;34;South Korea;6;30;66.67%;5′ 10″   /   178cm;73″   /   186cm;orthodox;"debut
        2019-09-01";3;1;2;2 KOs;1 KOs
Elijah Akana;heavy;32;USA;2;3;100%;;;;"debut
        2023-12-08";1;1;0;1 KOs;1 KOs
Hamisi Palasungulu;heavy;39;Tanzania;10;15;85.71%;;;orthodox;"debut
        2017-06-27";7;3;0;6 KOs;3 KOs
Terrence Walker;heavy;35;USA;7;25;50%;6′ 3″   /   191cm;;orthodox;"debut
        2020-07-18";2;4;1;1 KOs;4 KOs
Jerome Aiken;heavy;28;USA;14;50;100%;6′ 2″   /   188cm;;orthodox;"debut
        2014-12-06";1;10;1;1 KOs;2 KOs
Jerell Nettles;heavy;28;USA;14;55;25%;5′ 11″   /   180cm;;orthodox;"debut
        2021-08-20";4;10;0;1 KOs;6 KOs
Mathew Crist;heavy;32;USA;4;5;100%;;;orthodox;"debut
        2023-05-20";4;0;0;4 KOs;0 KOs
Muhammed Ali Durmaz;heavy;43;Germany;69;176;90.91%;6′ 2″   /   188cm;;orthodox;"debut
        2002-04-14";33;36;0;30 KOs;31 KOs
Miguel Antonio Pinon Tovar;heavy;38;Mexico;9;31;33.33%;;;;"debut
        2013-02-15";3;5;1;1 KOs;4 KOs
Lei Vaivela;heavy;;Australia;4;9;100%;;;;"debut
        2023-07-22";2;2;0;2 KOs;2 KOs
Blessing T'eo;heavy;;Australia;3;6;66.67%;;;;"debut
        2017-11-18";3;0;0;2 KOs;0 KOs
Misael Sanchez;heavy;30;Mexico;56;208;52.38%;;;;"debut
        2015-07-09";21;25;9;11 KOs;19 KOs
Michal Banbula;heavy;43;Poland;56;290;0%;6′ 0″   /   183cm;71″   /   180cm;orthodox;"debut
        2005-04-30";13;38;5;0 KOs;9 KOs
Max Jenkins;heavy;36;United Kingdom;4;13;33.33%;;;;"debut
        2022-02-12";3;1;0;1 KOs;0 KOs
Francisco Silvens Mateo;heavy;39;Dominican Republic;29;62;95.65%;5′ 11″   /   180cm;;;"debut
        2013-10-19";23;6;0;22 KOs;6 KOs
Sonny Clarke;heavy;23;United Kingdom;2;8;0%;;;orthodox;"debut
        2023-12-03";2;0;0;0 KOs;0 KOs
Branimir Lovren;heavy;30;Croatia;1;4;0%;;;;"debut
        2024-08-10";1;0;0;0 KOs;0 KOs
Samson Kazeem;heavy;30;Nigeria;8;18;100%;6′ 6″   /   198cm;;orthodox;"debut
        2021-07-25";8;0;0;8 KOs;0 KOs
Oswaldo Ortega;heavy;41;Mexico;20;68;33.33%;6′ 0″   /   183cm;;orthodox;"debut
        2014-03-28";3;16;0;1 KOs;7 KOs
Adrian Pina Miranda;heavy;19;Mexico;3;12;0%;;;;"debut
        2024-02-24";1;0;2;0 KOs;0 KOs
Ricardo Humberto Ramirez;heavy;44;Argentina;25;77;78.57%;;;orthodox;"debut
        2005-07-01";14;11;0;11 KOs;11 KOs
Ayman Farouk Abbas;heavy;47;Egypt;15;66;25%;;;orthodox;"debut
        2018-02-17";4;10;1;1 KOs;5 KOs
Lee Kellett;heavy;46;United Kingdom;21;75;75%;6′ 2″   /   188cm;;orthodox;"debut
        2006-02-12";8;11;2;6 KOs;6 KOs
Samvel Gasoyan;heavy;25;Armenia;2;2;100%;;;;"debut
        2024-02-25";2;0;0;2 KOs;0 KOs
Yamato Fujinaka;heavy;39;Japan;14;56;42.86%;5′ 10″   /   178cm;;orthodox;"debut
        2010-05-19";7;7;0;3 KOs;3 KOs
Amsal Mujovic;heavy;20;Germany;4;5;100%;;;;"debut
        2023-02-04";4;0;0;4 KOs;0 KOs
Derek Cardenas;heavy;27;Mexico;23;68;80%;;;;"debut
        2017-05-13";10;13;0;8 KOs;9 KOs
Alejandro Berrio;heavy;48;Colombia;61;272;82.93%;6′ 1″   /   185cm;;orthodox;"debut
        1997-02-28";41;20;0;34 KOs;18 KOs
Pavlo Krolenko;heavy;37;Ukraine;20;102;66.67%;6′ 0½″   /   184cm;;orthodox;"debut
        2018-09-08";3;16;1;2 KOs;3 KOs
Mohammad Saleem;heavy;35;United Kingdom;8;35;16.67%;;;orthodox;"debut
        2019-06-15";6;2;0;1 KOs;2 KOs
Ergal Elezaj;heavy;22;Albania;2;10;0%;;;;"debut
        2023-03-25";2;0;0;0 KOs;0 KOs
Tyrail Crosby;heavy;31;USA;2;8;0%;6′ 3″   /   191cm;;southpaw;"debut
        2022-03-26";0;1;1;0 KOs;0 KOs
Franco Leonel Gonzalez;heavy;22;Argentina;8;33;0%;;;orthodox;"debut
        2022-06-10";1;7;0;0 KOs;1 KOs
Charles Hackmann;heavy;39;USA;9;26;33.33%;5′ 11″   /   180cm;;orthodox;"debut
        2011-12-23";3;6;0;1 KOs;3 KOs
Klismans Bolano;heavy;33;Venezuela;7;10;85.71%;;;;"debut
        2023-08-05";7;0;0;6 KOs;0 KOs
Curtis Scott;heavy;27;Australia;3;6;100%;6′ 2″   /   188cm;;orthodox;"debut
        2024-03-13";3;0;0;3 KOs;0 KOs
Efrain Carranza Gonzalez;heavy;30;Mexico;5;18;100%;;;;"debut
        2021-11-27";1;3;1;1 KOs;1 KOs
Theron Pappas;heavy;45;USA;6;24;100%;6′ 4″   /   193cm;;;"debut
        2022-03-11";2;3;1;2 KOs;1 KOs
Daniel Gonzalez;heavy;32;Colombia;17;65;33.33%;;;;"debut
        2022-12-15";9;8;0;3 KOs;6 KOs
Morten Givskov;heavy;25;Denmark;3;6;100%;;;southpaw;"debut
        2024-02-03";3;0;0;3 KOs;0 KOs
Milos Veletic;heavy;27;Bosnia And Herzegovina;8;35;50%;6′ 2″   /   188cm;;;"debut
        2019-09-21";2;6;0;1 KOs;2 KOs
Djelon Januzaj;heavy;20;Slovenia;4;7;100%;;;;"debut
        2023-10-14";4;0;0;4 KOs;0 KOs
Marcos Sebastiao Ferreira;heavy;41;Brazil;7;36;33.33%;5′ 11″   /   180cm;72″   /   183cm;orthodox;"debut
        2021-08-21";3;3;1;1 KOs;2 KOs
